regime,method,mean_crps_all,se_crps_all,mean_crps_warmstart,se_crps_warmstart
random,blended,0.045685,0.000689,0.045940,0.000719
random,equal,0.043417,0.000327,0.043413,0.000450
random,stake,0.046545,0.000702,0.046808,0.000731
random,skill,0.041929,0.000312,0.041925,0.000419
random,best_only,0.022983,0.000317,0.023263,0.000213
fixed,blended,0.042407,0.000317,0.042404,0.000429
fixed,equal,0.043417,0.000327,0.043413,0.000450
fixed,stake,0.043417,0.000327,0.043413,0.000450
fixed,skill,0.041929,0.000312,0.041925,0.000419
fixed,best_only,0.022983,0.000317,0.023263,0.000213
correlated,blended,0.022840,0.000127,0.022902,0.000148
correlated,equal,0.043417,0.000327,0.043413,0.000450
correlated,stake,0.022991,0.000131,0.023050,0.000150
correlated,skill,0.041929,0.000312,0.041925,0.000419
correlated,best_only,0.022983,0.000317,0.023263,0.000213
bankroll,blended,0.027856,0.000180,0.025136,0.000275
bankroll,equal,0.043417,0.000327,0.043413,0.000450
bankroll,stake,0.026586,0.000122,0.023171,0.000224
bankroll,skill,0.041929,0.000312,0.041925,0.000419
bankroll,best_only,0.022983,0.000317,0.023263,0.000213
