lam,n_benign,seed,arb_total_profit,arb_final_wealth
0.0,4,0,0.54520621647475,10.545206216474748
0.0,4,1,2.1019787045366876,12.101978704536684
0.0,4,2,4.797995181039093,14.797995181039097
0.0,4,3,4.99421173056275,14.994211730562743
0.0,4,4,2.146356938823425,12.146356938823434
0.0,4,5,0.9160215020113714,10.916021502011372
0.0,4,6,2.5027010586180807,12.502701058618076
0.0,4,7,1.973311384512523,11.973311384512517
0.0,4,8,3.092565378730745,13.092565378730761
0.0,4,9,1.908482767099425,11.908482767099432
0.0,8,0,5.83986189202606,15.839861892026075
0.0,8,1,2.2761206893723207,12.276120689372327
0.0,8,2,6.653656932497746,16.653656932497746
0.0,8,3,9.39412034389617,19.394120343896162
0.0,8,4,6.58074834448047,16.580748344480465
0.0,8,5,5.489079637841174,15.489079637841186
0.0,8,6,7.994194676826076,17.994194676826066
0.0,8,7,3.8183816441505973,13.818381644150588
0.0,8,8,10.173256624104328,20.17325662410431
0.0,8,9,3.0444531365930385,13.044453136593027
0.0,16,0,6.5459768999052725,16.54597689990526
0.0,16,1,11.572709740792547,21.572709740792522
0.0,16,2,15.06625436635808,25.06625436635808
0.0,16,3,20.8159139144647,30.815913914464723
0.0,16,4,16.774827707741622,26.774827707741622
0.0,16,5,12.502982218172194,22.502982218172225
0.0,16,6,12.047317962041687,22.047317962041685
0.0,16,7,15.071281179097978,25.071281179097966
0.0,16,8,14.246929431839714,24.246929431839717
0.0,16,9,10.49922492052059,20.49922492052056
0.0,32,0,20.37402080471149,30.37402080471148
0.0,32,1,24.65246346887098,34.65246346887097
0.0,32,2,21.994461758959503,31.99446175895953
0.0,32,3,31.831146596651074,41.83114659665109
0.0,32,4,25.71231621016264,35.71231621016264
0.0,32,5,25.865556369014996,35.86555636901503
0.0,32,6,11.947487206023222,21.947487206023258
0.0,32,7,19.49165079572124,29.49165079572124
0.0,32,8,27.247917762145367,37.24791776214539
0.0,32,9,25.76842430134363,35.7684243013436
0.5,4,0,0.8433860108947877,10.84338601089479
0.5,4,1,3.3375412847082795,13.33754128470828
0.5,4,2,8.724515888626717,18.724515888626698
0.5,4,3,6.791373520881398,16.791373520881365
0.5,4,4,3.8616218392701556,13.861621839270143
0.5,4,5,1.2509721183415088,11.250972118341519
0.5,4,6,6.500817927565809,16.500817927565823
0.5,4,7,3.7891464491103775,13.789146449110376
0.5,4,8,9.657896697219833,19.657896697219826
0.5,4,9,4.121462175960216,14.121462175960225
0.5,8,0,9.302225976638258,19.30222597663822
0.5,8,1,6.076307282287733,16.076307282287715
0.5,8,2,9.913091729747702,19.91309172974771
0.5,8,3,15.78558913106248,25.78558913106248
0.5,8,4,11.236493940691282,21.236493940691282
0.5,8,5,8.48315151640802,18.483151516408018
0.5,8,6,12.774089202954412,22.774089202954432
0.5,8,7,7.3229505346575,17.322950534657508
0.5,8,8,16.039990689432766,26.039990689432738
0.5,8,9,7.699554035861473,17.699554035861468
0.5,16,0,9.928236015224465,19.928236015224503
0.5,16,1,20.071904406696117,30.071904406696103
0.5,16,2,21.92299834189253,31.922998341892537
0.5,16,3,33.68595003118286,43.68595003118285
0.5,16,4,29.484312781770587,39.48431278177055
0.5,16,5,21.213657488173503,31.21365748817351
0.5,16,6,20.676343463955693,30.676343463955707
0.5,16,7,26.03812319250392,36.03812319250391
0.5,16,8,23.880060464844473,33.880060464844455
0.5,16,9,17.994851899657917,27.994851899657924
0.5,32,0,34.01957242066821,44.01957242066827
0.5,32,1,41.246529027580046,51.24652902758003
0.5,32,2,33.140524880910704,43.14052488091063
0.5,32,3,53.26569309560445,63.26569309560446
0.5,32,4,40.246741605562164,50.24674160556218
0.5,32,5,43.396840927239055,53.396840927239055
0.5,32,6,23.42390575546567,33.423905755465626
0.5,32,7,30.06987898728272,40.069878987282685
0.5,32,8,42.44177402803826,52.44177402803826
0.5,32,9,41.49184964131517,51.49184964131517
1.0,4,0,1.6996875002285528,11.699687500228555
1.0,4,1,5.918368418420662,15.918368418420663
1.0,4,2,11.2621378602215,21.262137860221504
1.0,4,3,7.408312841854218,17.40831284185422
1.0,4,4,5.820210303298151,15.82021030329815
1.0,4,5,2.1376092017261334,12.13760920172614
1.0,4,6,11.336453357996412,21.336453357996422
1.0,4,7,5.054582667594403,15.054582667594426
1.0,4,8,16.148993976262567,26.148993976262574
1.0,4,9,5.1964906033625855,15.196490603362589
1.0,8,0,13.133515991172045,23.133515991172068
1.0,8,1,8.54780238248393,18.54780238248391
1.0,8,2,10.38327099082931,20.38327099082928
1.0,8,3,18.19665407608857,28.19665407608857
1.0,8,4,15.289625612666448,25.28962561266646
1.0,8,5,10.778575911289586,20.778575911289586
1.0,8,6,16.956628636037642,26.95662863603767
1.0,8,7,11.304527487925647,21.304527487925686
1.0,8,8,26.285620540738677,36.28562054073869
1.0,8,9,10.10774634197847,20.107746341978476
1.0,16,0,10.141792036609505,20.141792036609512
1.0,16,1,26.525469823301457,36.52546982330147
1.0,16,2,20.04629813669155,30.046298136691544
1.0,16,3,41.372871265517446,51.37287126551742
1.0,16,4,38.18747540237713,48.1874754023771
1.0,16,5,29.470307925736527,39.470307925736485
1.0,16,6,24.355681743897655,34.35568174389764
1.0,16,7,35.74943364563868,45.749433645638625
1.0,16,8,35.60891299393612,45.60891299393615
1.0,16,9,25.27982829728731,35.27982829728735
1.0,32,0,40.498098943568905,50.498098943568905
1.0,32,1,56.94581980310882,66.9458198031088
1.0,32,2,41.486993803271446,51.48699380327143
1.0,32,3,68.11876982551297,78.118769825513
1.0,32,4,53.866538943078815,63.866538943078844
1.0,32,5,54.441393949225294,64.44139394922533
1.0,32,6,27.99943775151936,37.999437751519366
1.0,32,7,45.863534209181346,55.863534209181346
1.0,32,8,55.514879399730304,65.51487939973039
1.0,32,9,53.15333812516284,63.15333812516284
