attacker,seed,total_profit,final_wealth,detector_mean_score,detector_flag_rate,detector_eval_rounds
fixed_manipulator,0,-50.013276292510845,0.0,0.5136371046327702,0.12045889101338432,528
adaptive_evader,0,-50.06340778483091,0.0,0.48816336514845415,0.13382507903055849,954
fixed_manipulator,1,-50.027711390606626,0.0,0.4670777135967847,0.080078125,517
adaptive_evader,1,-50.02471991545063,0.0,0.4688257681244702,0.1,775
fixed_manipulator,2,-50.00551898331995,0.0,0.5029103645362345,0.12391304347826088,465
adaptive_evader,2,-50.028159738215216,0.0,0.4973206208816577,0.14883148831488316,818
fixed_manipulator,3,-50.01881464714135,0.0,0.500193576359358,0.13452914798206278,451
adaptive_evader,3,-49.01329342884428,0.9867065711559025,0.49601199833171855,0.14416243654822336,990
fixed_manipulator,4,-50.00202262360905,0.0,0.47078623612889847,0.08480565371024736,288
adaptive_evader,4,-50.01233163968252,0.0,0.4609621204315236,0.09012875536480687,471
fixed_manipulator,5,-50.01430099210219,0.0,0.47558322091200467,0.08624229979466119,492
adaptive_evader,5,-50.02904470081326,0.0,0.46808974112714924,0.07744565217391304,741
fixed_manipulator,6,-50.02881399487951,0.0,0.4954862440488946,0.12276785714285714,453
adaptive_evader,6,-50.00972133879332,0.0,0.4823302674653933,0.13122721749696234,828
fixed_manipulator,7,-50.04989656933231,0.0,0.4948815416702447,0.1,445
adaptive_evader,7,-50.00050548534232,0.0,0.47034605975965144,0.10773480662983426,729
fixed_manipulator,8,-50.00107300223272,0.0,0.5133877940757805,0.13114754098360656,554
adaptive_evader,8,-48.67187999247792,1.3281200075221316,0.48299855638886574,0.14444444444444443,995
fixed_manipulator,9,-50.003547228778125,0.0,0.44575684731507137,0.06374501992031872,507
adaptive_evader,9,-50.02354450828659,0.0,0.4549209795805968,0.07278020378457059,692
fixed_manipulator,10,-50.00700353684063,0.0,0.4796479746594663,0.083710407239819,447
adaptive_evader,10,-50.00621689802468,0.0,0.4735864897104708,0.10578279266572638,714
fixed_manipulator,11,-50.02916723785664,0.0,0.535341673244828,0.16929133858267717,513
adaptive_evader,11,-47.88160769242563,2.118392307574373,0.5080680277077735,0.14750762970498474,988
fixed_manipulator,12,-50.005959535114286,0.0,0.5065720953227838,0.1284796573875803,472
adaptive_evader,12,-50.00552379577788,0.0,0.496391670015777,0.13105726872246695,913
fixed_manipulator,13,-50.00936566248921,0.0,0.4472303299184859,0.049079754601226995,331
adaptive_evader,13,-50.00402797149794,0.0,0.44069223137221925,0.08506224066390042,487
fixed_manipulator,14,-50.029226238982005,0.0,0.46074638040979166,0.0741687979539642,396
adaptive_evader,14,-50.02171454398181,0.0,0.45552452473076604,0.07692307692307693,642
fixed_manipulator,15,-50.04011945339743,0.0,0.4695638493826596,0.058823529411764705,379
adaptive_evader,15,-50.01030839258839,0.0,0.46084855522361196,0.08914100486223663,622
fixed_manipulator,16,-50.012701212516255,0.0,0.5032031153417159,0.18042813455657492,332
adaptive_evader,16,-50.010339116546966,0.0,0.4921066925208931,0.12884834663625996,882
fixed_manipulator,17,-50.00715249200498,0.0,0.5320189891627125,0.15242494226327943,438
adaptive_evader,17,-50.00162651592098,0.0,0.4935634908418699,0.1305732484076433,947
fixed_manipulator,18,-50.01124596426773,0.0,0.49997516159850625,0.1451990632318501,432
adaptive_evader,18,-50.00427741464928,0.0,0.48802153877916665,0.13850063532401524,792
fixed_manipulator,19,-50.019685373412614,0.0,0.4928805560766527,0.12727272727272726,445
adaptive_evader,19,-49.70826259771744,0.2917374022826116,0.48643035540844126,0.14444444444444443,995
