kappa,agent,random_mean_sigma,strategic_mean_sigma,random_cum_profit,strategic_cum_profit,delta_profit
0.0,0,0.920141,0.920141,14.529423,12.792285,-1.737139
0.0,1,0.887273,0.887273,9.737253,8.093553,-1.643700
0.0,2,0.845841,0.845841,3.550700,1.959246,-1.591453
0.0,3,0.795445,0.795445,-3.738754,-5.316640,-1.577886
0.0,4,0.724080,0.724080,-14.033706,-15.489428,-1.455723
0.0,5,0.683296,0.804334,-10.044916,-2.039016,8.005900
0.05,0,0.887211,0.887211,13.648617,12.454166,-1.194450
0.05,1,0.853469,0.853469,8.769314,7.547067,-1.222247
0.05,2,0.806126,0.806126,3.083851,2.017917,-1.065934
0.05,3,0.762492,0.762492,-4.399886,-5.489432,-1.089545
0.05,4,0.699132,0.699132,-13.829300,-14.909851,-1.080551
0.05,5,0.436310,0.501589,-7.272596,-1.619868,5.652728
0.2,0,0.786960,0.786960,12.668711,11.388083,-1.280628
0.2,1,0.762063,0.762063,8.339549,7.120787,-1.218763
0.2,2,0.747052,0.747052,3.121000,1.895194,-1.225807
0.2,3,0.699677,0.699677,-3.632773,-4.835590,-1.202817
0.2,4,0.630458,0.630458,-13.173417,-14.270350,-1.096933
0.2,5,0.311635,0.327952,-7.323070,-1.298122,6.024948
