scenario,seed,mean_agg_error,mean_r_hat_shift,attacker_profit
baseline_truthful,0,0.25550115811376445,0.0,0.0
pull_0.3_target_0.9,0,0.2519918508640057,0.06498437841905859,13.8331396424078
pull_0.6_target_0.9,0,0.2575251517320741,0.07660602259629216,-8.771881333635529
pull_1.0_target_0.9,0,0.2576552049967225,0.026553505900936983,-9.999997923288753
baseline_truthful,1,0.263056276364182,0.0,0.0
pull_0.3_target_0.9,1,0.26096590716229207,0.04028553416529597,4.303857947105351
pull_0.6_target_0.9,1,0.264372665007175,0.022351395566276303,-9.926973597152378
pull_1.0_target_0.9,1,0.26473783008759255,0.012306116917229376,-9.999999778386615
baseline_truthful,2,0.26324952649646916,0.0,0.0
pull_0.3_target_0.9,2,0.2565368096786865,0.06619623458274626,12.91931036264242
pull_0.6_target_0.9,2,0.26005606535434833,0.026748123293984353,-9.936632444727191
pull_1.0_target_0.9,2,0.2622968665303446,0.012859658653145627,-9.999999834372176
baseline_truthful,3,0.2601639523857673,0.0,0.0
pull_0.3_target_0.9,3,0.25344896192116134,0.06450580856621528,12.130384581222794
pull_0.6_target_0.9,3,0.25699611764592056,0.023139868873869394,-9.948312288307687
pull_1.0_target_0.9,3,0.25950303267988134,0.00692009376555312,-9.999999927509965
baseline_truthful,4,0.26541198804085503,0.0,0.0
pull_0.3_target_0.9,4,0.25610768859588484,0.08271776321782738,21.56407137066799
pull_0.6_target_0.9,4,0.26164970038965885,0.04249416148759117,-9.48119332651824
pull_1.0_target_0.9,4,0.2664530795315229,0.011144563848874457,-9.99999879024034
baseline_truthful,5,0.26045873435525835,0.0,0.0
pull_0.3_target_0.9,5,0.2572487792916998,0.038674688526912894,-3.7074694106046935
pull_0.6_target_0.9,5,0.25958392860375207,0.01813833138777016,-9.991981869868022
pull_1.0_target_0.9,5,0.25987740672851756,0.010479601222856665,-9.999999978882618
baseline_truthful,6,0.25888751334780274,0.0,0.0
pull_0.3_target_0.9,6,0.2552184449119357,0.07875739569423319,13.747650678962609
pull_0.6_target_0.9,6,0.25560215455970325,0.04432718435947202,-9.88121191867581
pull_1.0_target_0.9,6,0.2566105316549651,0.016789055886617586,-9.999999725919663
baseline_truthful,7,0.2649850747278267,0.0,0.0
pull_0.3_target_0.9,7,0.25942282171918896,0.06052383379587309,6.3923361216485315
pull_0.6_target_0.9,7,0.2638414884476684,0.024840509897693982,-9.955287881994085
pull_1.0_target_0.9,7,0.2650954538818088,0.0117477303809305,-9.999999922288684
baseline_truthful,8,0.2609668106146332,0.0,0.0
pull_0.3_target_0.9,8,0.24886271561976894,0.09804459728088355,30.514589442720073
pull_0.6_target_0.9,8,0.2567792010565505,0.025484272393051732,-9.895453544327317
pull_1.0_target_0.9,8,0.2599065831941412,0.010495993021678354,-9.999999927977374
baseline_truthful,9,0.255995634471664,0.0,0.0
pull_0.3_target_0.9,9,0.2506736476575382,0.07659433933438041,8.147384434809672
pull_0.6_target_0.9,9,0.25329302505679235,0.03322542319821954,-9.915682488593708
pull_1.0_target_0.9,9,0.25479632862329016,0.011766909014596915,-9.99999988253666
baseline_truthful,10,0.25923896208257224,0.0,0.0
pull_0.3_target_0.9,10,0.2567047786593067,0.048378691247170084,-0.4595161764782645
pull_0.6_target_0.9,10,0.2598413796297768,0.018447114644551996,-9.981827380386338
pull_1.0_target_0.9,10,0.2610264356024754,0.009766058898476914,-9.99999993692644
baseline_truthful,11,0.2641038171649547,0.0,0.0
pull_0.3_target_0.9,11,0.26239829877979287,0.02205231339565321,7.630171680494212
pull_0.6_target_0.9,11,0.2668329647768103,0.016159523944473148,-9.967052120086137
pull_1.0_target_0.9,11,0.2668591257119694,0.011546222899130931,-9.999999944788552
baseline_truthful,12,0.2733934619056299,0.0,0.0
pull_0.3_target_0.9,12,0.2709140852203385,0.03586680098067869,6.614173128354803
pull_0.6_target_0.9,12,0.27376933089415595,0.02292538909337321,-9.830523575775018
pull_1.0_target_0.9,12,0.2737230544027539,0.011990967214757835,-9.999999375141261
baseline_truthful,13,0.2531111504598441,0.0,0.0
pull_0.3_target_0.9,13,0.24939040863028736,0.0374334553626087,-2.1720207674646828
pull_0.6_target_0.9,13,0.252514517384108,0.017738391475027815,-9.991185385127325
pull_1.0_target_0.9,13,0.25304950654781294,0.01106802113631861,-9.99999998844732
baseline_truthful,14,0.2687331145056172,0.0,0.0
pull_0.3_target_0.9,14,0.2582160478479878,0.07136877433800148,22.203096866081214
pull_0.6_target_0.9,14,0.2658340123910826,0.02363433548085132,-9.597866530585508
pull_1.0_target_0.9,14,0.2685404543436229,0.006652016875535886,-9.999999367985506
baseline_truthful,15,0.25252214942304313,0.0,0.0
pull_0.3_target_0.9,15,0.25035613819867925,0.052798148682843896,6.127340471014717
pull_0.6_target_0.9,15,0.25210546866097067,0.01957240814343051,-9.966337910263698
pull_1.0_target_0.9,15,0.2527224165962855,0.008975705314771364,-9.999999943336528
baseline_truthful,16,0.25822665397560424,0.0,0.0
pull_0.3_target_0.9,16,0.25574692743558713,0.027430011065145688,3.700800580019483
pull_0.6_target_0.9,16,0.25841429837820235,0.010545086328696772,-9.931095944976308
pull_1.0_target_0.9,16,0.258559554299325,0.0055841425111647644,-9.999999799298292
baseline_truthful,17,0.2584101129861245,0.0,0.0
pull_0.3_target_0.9,17,0.2542028317503719,0.04033881493463193,6.933659201566087
pull_0.6_target_0.9,17,0.2590392950236368,0.018864983424191895,-9.962599897867802
pull_1.0_target_0.9,17,0.2593415982488391,0.012062249654537895,-9.999999950933399
baseline_truthful,18,0.26506140107815623,0.0,0.0
pull_0.3_target_0.9,18,0.26112231098428457,0.0495438538925854,4.099610412740458
pull_0.6_target_0.9,18,0.26416499169332325,0.025464382181899604,-9.956380902161099
pull_1.0_target_0.9,18,0.2648640003028648,0.01422459115724713,-9.999999913988123
baseline_truthful,19,0.26534499154858454,0.0,0.0
pull_0.3_target_0.9,19,0.25957588452070934,0.06394597349946037,35.35223305302392
pull_0.6_target_0.9,19,0.26477032283782453,0.020407500777830732,-9.322997360614293
pull_1.0_target_0.9,19,0.2661010586380088,0.0062330885290318525,-9.999998381170688
