lam,sigma_min,mean_crps,gini,frac_meaningful
0.0,0.05,0.0268645788232251,0.22982175362996893,1.0
0.0,0.1,0.026882855198593715,0.22917884203638206,1.0
0.0,0.2,0.026919047774464886,0.22794205136561918,1.0
0.0,0.3,0.026954354126763544,0.22676644568127036,1.0
0.0,0.5,0.02702215042391406,0.22458091861646068,1.0
0.25,0.05,0.02694999708793121,0.2269102115461783,1.0
0.25,0.1,0.02696304018907534,0.22648155708245743,1.0
0.25,0.2,0.026988830450641262,0.22564744361500622,1.0
0.25,0.3,0.02701393158808872,0.22484284033113777,1.0
0.25,0.5,0.027062177914074594,0.223315913867832,1.0
0.5,0.05,0.027030296848522418,0.22432204204409456,1.0
0.5,0.1,0.02703837184957043,0.22406615596539647,1.0
0.5,0.2,0.027054311439894486,0.22356314328877525,1.0
0.5,0.3,0.02706997673534498,0.2230714692178708,1.0
0.5,0.5,0.02710051324380446,0.22212058711729488,1.0
0.75,0.05,0.027104257972287944,0.22200465831110772,1.0
0.75,0.1,0.027107986975717938,0.22188936252963676,1.0
0.75,0.2,0.027115398215506337,0.22166064870930335,1.0
0.75,0.3,0.027122747770311144,0.2214344036013458,1.0
0.75,0.5,0.02713726498271245,0.22098915604286007,1.0
1.0,0.05,0.02717253236516538,0.21991647273887782,1.0
1.0,0.1,0.02717253236516538,0.21991647273887782,1.0
1.0,0.2,0.02717253236516538,0.21991647273887782,1.0
1.0,0.3,0.02717253236516538,0.21991647273887782,1.0
1.0,0.5,0.02717253236516538,0.21991647273887782,1.0
