method,seed,mean_crps,delta_crps_vs_equal
equal,0,0.054653593345838185,0.0
stake_only,0,0.05292955423795754,-0.0017240391078806455
skill_only,0,0.054147530287641646,-0.0005060630581965389
blended,0,0.054653593345838185,0.0
bankroll,0,0.05117388243675633,-0.0034797109090818554
equal,1,0.05430859711827349,0.0
stake_only,1,0.053903791305423596,-0.0004048058128498927
skill_only,1,0.05380836046156048,-0.0005002366567130115
blended,1,0.05430859711827349,0.0
bankroll,1,0.05205097404751898,-0.0022576230707545067
equal,2,0.05460348033023186,0.0
stake_only,2,0.05314255144756251,-0.0014609288826693476
skill_only,2,0.05410374121826688,-0.000499739111964978
blended,2,0.05460348033023186,0.0
bankroll,2,0.05130973551436033,-0.0032937448158715313
equal,3,0.05443320927279207,0.0
stake_only,3,0.053081935258487256,-0.0013512740143048138
skill_only,3,0.053931138905376166,-0.0005020703674159036
blended,3,0.05443320927279207,0.0
bankroll,3,0.05142879371290893,-0.003004415559883143
equal,4,0.05445075108190316,0.0
stake_only,4,0.053781765315160136,-0.0006689857667430271
skill_only,4,0.053949586635799185,-0.0005011644461039785
blended,4,0.05445075108190316,0.0
bankroll,4,0.051663885317175896,-0.002786865764727267
equal,5,0.054323655867033346,0.0
stake_only,5,0.05357702570621474,-0.0007466301608186066
skill_only,5,0.05382416592908987,-0.0004994899379434786
blended,5,0.054323655867033346,0.0
bankroll,5,0.05184543025559197,-0.0024782256114413773
equal,6,0.05430375309813079,0.0
stake_only,6,0.05284528911283017,-0.001458463985300619
skill_only,6,0.05380290979473952,-0.0005008433033912713
blended,6,0.05430375309813079,0.0
bankroll,6,0.05117989318301778,-0.003123859915113013
equal,7,0.05419504681335939,0.0
stake_only,7,0.054498386672239094,0.00030333985887970316
skill_only,7,0.053699513497028326,-0.0004955333163310649
blended,7,0.05419504681335939,0.0
bankroll,7,0.05253189551251176,-0.0016631513008476331
equal,8,0.054333109982431946,0.0
stake_only,8,0.053612446854486295,-0.0007206631279456505
skill_only,8,0.05383464183612742,-0.000498468146304526
blended,8,0.054333109982431946,0.0
bankroll,8,0.05173742485621922,-0.002595685126212728
equal,9,0.05450365555606773,0.0
stake_only,9,0.053386978445006804,-0.0011166771110609278
skill_only,9,0.053992923779768796,-0.0005107317762989352
blended,9,0.05450365555606773,0.0
bankroll,9,0.051675196144901,-0.002828459411166731
equal,10,0.05440996758073536,0.0
stake_only,10,0.05287349107350563,-0.0015364765072297323
skill_only,10,0.05391243198297445,-0.0004975355977609106
blended,10,0.05440996758073536,0.0
bankroll,10,0.05117049630352139,-0.0032394712772139678
equal,11,0.05444929622718367,0.0
stake_only,11,0.05226680352107288,-0.002182492706110789
skill_only,11,0.05395077648174113,-0.0004985197454425369
blended,11,0.05444929622718367,0.0
bankroll,11,0.05090870068870282,-0.0035405955384808507
equal,12,0.05432012484882637,0.0
stake_only,12,0.05301082680194482,-0.0013092980468815477
skill_only,12,0.053816311396373426,-0.000503813452452942
blended,12,0.05432012484882637,0.0
bankroll,12,0.05121228352806351,-0.003107841320762861
equal,13,0.05428011458984092,0.0
stake_only,13,0.05343809017108969,-0.0008420244187512319
skill_only,13,0.053783467395854274,-0.000496647193986649
blended,13,0.05428011458984092,0.0
bankroll,13,0.051313511889240326,-0.002966602700600597
equal,14,0.05416890201903376,0.0
stake_only,14,0.05328057499234659,-0.0008883270266871676
skill_only,14,0.05367072988438516,-0.0004981721346485959
blended,14,0.05416890201903376,0.0
bankroll,14,0.05142398595226437,-0.0027449160667693887
equal,15,0.054221327182633214,0.0
stake_only,15,0.052672342166218696,-0.0015489850164145183
skill_only,15,0.053722098459166,-0.0004992287234672141
blended,15,0.054221327182633214,0.0
bankroll,15,0.050602044330976766,-0.003619282851656448
equal,16,0.05441503466974134,0.0
stake_only,16,0.05352588949496572,-0.0008891451747756185
skill_only,16,0.05391239495705816,-0.0005026397126831825
blended,16,0.05441503466974134,0.0
bankroll,16,0.05138704964795303,-0.003027985021788311
equal,17,0.054392776165528914,0.0
stake_only,17,0.052954857727381795,-0.0014379184381471191
skill_only,17,0.053896758763305595,-0.0004960174022233185
blended,17,0.054392776165528914,0.0
bankroll,17,0.0510995933336383,-0.0032931828318906106
equal,18,0.05448783276368493,0.0
stake_only,18,0.05262084776946557,-0.0018669849942193548
skill_only,18,0.05398581621330858,-0.0005020165503763496
blended,18,0.05448783276368493,0.0
bankroll,18,0.05119859312940221,-0.003289239634282716
equal,19,0.05407648946425766,0.0
stake_only,19,0.053073000575355626,-0.0010034888889020321
skill_only,19,0.0535768975049206,-0.0004995919593370618
blended,19,0.05407648946425766,0.0
bankroll,19,0.050868458274967845,-0.003208031189289813
