k,scenario,mean_ratio,mean_delta,ci_low,ci_high
2,identical,1.0,0.0,0.0,0.0
2,diversified,1.3094714101000464,-0.0005009990392074563,-0.0033969941800667163,0.0023949961016518032
2,strategic_deposit,0.9999999999999994,-6.357761539454999e-18,-3.6833981517263964e-17,2.4118458438353968e-17
3,identical,0.9999999999999998,1.7069679003611785e-17,-4.396205140196468e-18,3.8535563147420035e-17
3,diversified,0.9090140031607292,0.0010255168126652428,-0.0016315325430259896,0.0036825661683564754
3,strategic_deposit,0.9999999999999998,9.249328733473837e-18,-2.3187303533139838e-17,4.1685961000087515e-17
4,identical,1.0,0.0,0.0,0.0
4,diversified,1.3168456124577748,-0.00030562233269147324,-0.0021541104181100747,0.0015428657527271283
4,strategic_deposit,0.9999999999999977,-3.49655200626575e-18,-3.65380006722016e-17,2.9544896659670094e-17
5,identical,0.9999999999999986,-4.9960036108132066e-18,-4.12179624406616e-17,3.122595521903518e-17
5,diversified,0.9931345935392143,0.0006747270616875439,-0.0009226178291145818,0.0022720719524896697
5,strategic_deposit,0.9999999999999988,-3.619066851756615e-18,-3.5511390349735436e-17,2.827325664622221e-17
6,identical,0.9999999999999998,9.853229343548262e-18,-3.0018713439955683e-17,4.972517212705221e-17
6,diversified,1.0299215980377687,0.0010288527895906095,-0.0001484081767308789,0.0022061137559120977
6,strategic_deposit,0.9999999999999998,-1.1167282376600645e-19,-4.347537560425363e-17,4.325202995672162e-17
7,identical,0.9999999999999977,2.0677903833643537e-17,-1.4420681369027668e-17,5.577648903631474e-17
7,diversified,0.9160898566842187,-7.300103039391331e-05,-0.001346083515948759,0.0012000814551609324
7,strategic_deposit,0.9999999999999984,2.6432848965196602e-17,-3.72849417983112e-18,5.659419211022433e-17
8,identical,1.0,0.0,0.0,0.0
8,diversified,0.977064679662093,-0.0001961420625734493,-0.0015201024483984524,0.0011278183232515538
8,strategic_deposit,0.9999999999999994,2.554380318375849e-18,-2.468933715233709e-17,2.9798097789088786e-17
